Rank,Brand,Product Category,Points,,
275,ANZ,Financial Services,13.1,,
275,Hockey Club Davos,Leisure & Entertainment,13.1,,
279,Reclame Aqui,Technology & Electronics,12.9,,
279,Ala,Household & Domestic,12.9,,
279,Hershey's Kisses,Food,12.9,,
279,Pilsen,Alcoholic Drinks,12.9,,
283,Coffeemate,Soft Drinks,12.7,,
283,Chipsy,Food,12.7,,
283,Egypt Tourism Authority,Transport & Tourism,12.7,,
286,Godrej Ezee,Household & Domestic,11.4,,
286,Royal Stag Barrel Select,Alcoholic Drinks,11.4,,
286,Amul,Soft Drinks,11.4,,
286,Work In India,"Non-profit, public sector & education",11.4,,
286,Saffola Life,Pharma & Healthcare,11.4,,
286,Domex,Household & Domestic,11.4,,
286,Braintree,Financial Services,11.4,,
286,Bayer Aspirin,Pharma & Healthcare,11.4,,
286,Airbus,Transport & Tourism,11.4,,
286,Paypal,Financial Services,11.4,,
286,GE,Business & Industrial,11.4,,
286,CulturBooks,Media & Publishing,11.4,,
286,Danone B'lue,Soft Drinks,11.4,,
286,BNY Mellon Wealth Management,Financial Services,11.4,,
286,Omo,Household & Domestic,11.4,,
286,Scotiabank,Financial Services,11.4,,
286,Rom,Food,11.4,,
286,Starbucks,Soft Drinks,11.4,,
286,Societe Generale,Financial Services,11.4,,
286,Salomon / Sky,Clothing & Accessories,11.4,,
286,Aeroflot,Transport & Tourism,11.4,,
286,Oui FM,Media & Publishing,11.4,,
286,York University,"Non-profit, public sector & education",11.4,,
286,Labanita,Food,11.4,,
286,Stride Gum,Food,11.4,,
286,Morgan Stanley,Financial Services,11.4,,
286,Erste Bank Serbia,Financial Services,11.4,,
313,KAFA,"Non-profit, public sector & education",11.0,,
313,Jarir Bookstore,Media & Publishing,11.0,,
313,7UP,Soft Drinks,11.0,,
313,Support To Life,"Non-profit, public sector & education",11.0,,
313,Zooba,Retail,11.0,,
318,Dimension Data,Technology & Electronics,10.0,,
318,Pepsodent White Now,Toiletries & Cosmetics,10.0,,
318,Anmum Infant Formula,Food,10.0,,
318,MediaWorld,Media & Publishing,10.0,,
322,Neutrogena,Toiletries & Cosmetics,9.8,,
322,Pond's,Toiletries & Cosmetics,9.8,,
322,Harbin Beer,Alcoholic Drinks,9.8,,
325,Coors Light,Alcoholic Drinks,9.5,,
325,The Kind Foundation,"Non-profit, public sector & education",9.5,,
325,T-Mobile,Telecoms & Utilities,9.5,,
325,Dunlop,Automotive,9.5,,
325,Educo ChildFund Alliance,"Non-profit, public sector & education",9.5,,
330,Johnnie Walker,Alcoholic Drinks,9.2,,
331,Ubisoft,Technology & Electronics,9.1,,
331,Afghan Ministry of Public Health,"Non-profit, public sector & education",9.1,,
331,Vidax,"Non-profit, public sector & education",9.1,,
331,Italia Longeva,Pharma & Healthcare,9.1,,
331,Tourism Ireland,Transport & Tourism,9.1,,
331,ASICS,Clothing & Accessories,9.1,,
331,Cruzeiro Esporte Clube and Azmina,"Non-profit, public sector & education",9.1,,
331,Caltex,Automotive,9.1,,
331,Ol Pejeta Conservancy,"Non-profit, public sector & education",9.1,,
331,Acuo,Food,9.1,,
331,Absolut,Alcoholic Drinks,9.1,,
331,Amazon,Retail,9.1,,
331,Colombian Urology Society,"Non-profit, public sector & education",9.1,,
331,Waitrose,Retail,9.1,,
331,Comic Relief,"Non-profit, public sector & education",9.1,,
331,Careem,Transport & Tourism,9.1,,
331,Archer+Wolf,Household & Domestic,9.1,,
331,Stouffer's,Food,9.1,,
331,Four Seasons Condoms,Pharma & Healthcare,9.1,,
331,AACD,"Non-profit, public sector & education",9.1,,
331,Nordsud Verlag,Media & Publishing,9.1,,
331,Pinterest,Media & Publishing,9.1,,
353,Unicef,"Non-profit, public sector & education",9.0,,
353,Computer Spiele Museum,Leisure & Entertainment,9.0,,
355,Marie Curie,"Non-profit, public sector & education",8.8,,
355,Very,Retail,8.8,,
357,SickKids Foundation,"Non-profit, public sector & education",8.7,,
357,Raising The Roof,"Non-profit, public sector & education",8.7,,
359,Domino's Pizza,Food,8.3,,
359,P&G Prestige,Toiletries & Cosmetics,8.3,,
359,HTC Vive,Telecoms & Utilities,8.3,,
362,Parachute Advansed,Toiletries & Cosmetics,7.1,,
362,Clear,Toiletries & Cosmetics,7.1,,
362,UNESCO,"Non-profit, public sector & education",7.1,,
362,Mammoth,Business & Industrial,7.1,,
362,Pampas,Food,7.1,,
362,Breeze,Household & Domestic,7.1,,
362,Google,Media & Publishing,7.1,,
362,Art Gallery of NSW,Leisure & Entertainment,7.1,,
362,Wrigley's Extra,Food,7.1,,
371,Visa Debit,Financial Services,7.0,,
371,YMCA,"Non-profit, public sector & education",7.0,,
371,Australian Road Safety Foundation,"Non-profit, public sector & education",7.0,,
371,Simcity Buildit,Technology & Electronics,7.0,,
371,Society For Community Organisation,"Non-profit, public sector & education",7.0,,
376,KPN,Telecoms & Utilities,6.7,,
376,Norwegian Red Cross,"Non-profit, public sector & education",6.7,,
376,Carlsberg,Alcoholic Drinks,6.7,,
376,Doctors Of The World,"Non-profit, public sector & education",6.7,,
380,Legacy Berlin,"Non-profit, public sector & education",6.6,,
380,Public Health England,"Non-profit, public sector & education",6.6,,
380,Atados,"Non-profit, public sector & education",6.6,,
380,Mouvement du Nid,"Non-profit, public sector & education",6.6,,
380,CasaLuker,Food,6.6,,
380,The Ad Council,"Non-profit, public sector & education",6.6,,
380,NZ Fire Service,"Non-profit, public sector & education",6.6,,
380,SK-II,Toiletries & Cosmetics,6.6,,
380,New Yorkers Against Gun Violence,"Non-profit, public sector & education",6.6,,
380,Smart Car,Automotive,6.6,,
380,Rio 2016,"Non-profit, public sector & education",6.6,,
380,PASSOP,"Non-profit, public sector & education",6.6,,
380,Black Lives Matter,"Non-profit, public sector & education",6.6,,
380,American Express,Financial Services,6.6,,
380,Rejoice Shampoo,Toiletries & Cosmetics,6.6,,
380,Yili,Food,6.6,,
380,Universal Pictures,Media & Publishing,6.6,,
380,Qianbao Financial,Financial Services,6.6,,
380,Super Elle,Media & Publishing,6.6,,
399,Paleta Payaso,Food,6.4,,
399,Rosatel,Retail,6.4,,
399,Ifood,Media & Publishing,6.4,,
399,Wonder Woman,Media & Publishing,6.4,,
399,Skip,Household & Domestic,6.4,,
399,Suave Kids,Toiletries & Cosmetics,6.4,,
399,Colpatria,Financial Services,6.4,,
399,LifeCell,Toiletries & Cosmetics,6.4,,
407,Kiri,Food,6.3,,
407,Reebok,Clothing & Accessories,6.3,,
407,Nahdi,Retail,6.3,,
410,Ripley,Retail,6.0,,
410,Ssex Bbox,"Non-profit, public sector & education",6.0,,
410,Ecopetrol,Business & Industrial,6.0,,
410,Tropical Fruit,Food,6.0,,
410,98FM,Media & Publishing,6.0,,
410,Volvo,Automotive,6.0,,
416,National Counter Terrorism Policity HQ,"Non-profit, public sector & education",5.9,,
416,Ciroc Vodka,Alcoholic Drinks,5.9,,
416,Sainsbury's,Retail,5.9,,
419,Canadian Women's Foundation,"Non-profit, public sector & education",5.8,,
419,Kruger,Household & Domestic,5.8,,
421,Rockwool,Business & Industrial,5.7,,
421,Plantronics,Technology & Electronics,5.7,,
421,Mäurer & Wirtz,Toiletries & Cosmetics,5.7,,
421,Nespresso,Soft Drinks,5.7,,
421,Western Union,Financial Services,5.7,,
421,Coach,Clothing & Accessories,5.7,,
421,Escudo,Alcoholic Drinks,5.7,,
421,Pennzoil,Business & Industrial,5.7,,
421,Leroy Merlin,Retail,5.7,,
421,MTA,Transport & Tourism,5.7,,
421,Hornbach,Retail,5.7,,
421,Lancôme Juicy Shaker,Toiletries & Cosmetics,5.7,,
421,Saturn,Technology & Electronics,5.7,,
421,Skittles,Food,5.7,,
421,Carglass,Automotive,5.7,,
421,Marchon Eyewear,Clothing & Accessories,5.7,,
421,Tohoku Tourism,Transport & Tourism,5.7,,
438,Sensodyne,Toiletries & Cosmetics,5.5,,
438,Lenovo,Technology & Electronics,5.5,,
438,Pril,Household & Domestic,5.5,,
441,Festival Republic,Leisure & Entertainment,5.0,,
442,Lyke,Media & Publishing,4.9,,
442,Colgate,Toiletries & Cosmetics,4.9,,
442,Kotak Mahindra Bank,Financial Services,4.9,,
445,Turner Entertainment,Media & Publishing,4.8,,
445,The Cosompolitan of Las Vegas,Transport & Tourism,4.8,,
445,TruTV,Media & Publishing,4.8,,
448,Vivo,Telecoms & Utilities,4.6,,
448,Woman Interrupted,"Non-profit, public sector & education",4.6,,
450,Friends Of Breastfeeding & Coalition Brands,"Non-profit, public sector & education",3.0,,
450,Banco De Bosques,"Non-profit, public sector & education",3.0,,
450,Moto Z,Telecoms & Utilities,3.0,,
450,Sodimac,Retail,3.0,,
450,Movistar,Telecoms & Utilities,3.0,,
