Rank,Brand,Product Category,Points,,
359,Havaianas,Clothing & Accessories,6.3,,
359,AMPARA Animal,"Non-profit, public sector & education",6.3,,
359,Companhia das Letras,Media & Publishing,6.3,,
359,Kia,Automotive,6.3,,
359,Dirección General De Tráfico,"Non-profit, public sector & education",6.3,,
359,INGUAT,Transport & Tourism,6.3,,
359,Fundación Colibrí,"Non-profit, public sector & education",6.3,,
359,Loto de Polla Chilena,Leisure & Entertainment,6.3,,
359,Paws 4 You,"Non-profit, public sector & education",6.3,,
359,ANTRA,"Non-profit, public sector & education",6.3,,
359,National Geographic,Media & Publishing,6.3,,
359,South African Breweries,Alcoholic Drinks,6.3,,
377,Klarna,Financial Services,6.2,,
377,Jet,Clothing & Accessories,6.2,,
377,National Geographic Kids,Media & Publishing,6.2,,
377,Right 2 Read,"Non-profit, public sector & education",6.2,,
377,BBL Security Products,Business & Industrial,6.2,,
377,People Opposing Women Abuse,"Non-profit, public sector & education",6.2,,
377,Cancer Dojo,"Non-profit, public sector & education",6.2,,
384,Krungthai Bank,Financial Services,6.1,,
385,Ubrew,Alcoholic Drinks,6.0,,
385,Nordea,Financial Services,6.0,,
387,Bixby,Technology & Electronics,5.9,,
387,Aboriginal Victoria,Transport & Tourism,5.9,,
387,Sea-Watch,"Non-profit, public sector & education",5.9,,
387,Wrangler,Clothing & Accessories,5.9,,
387,Cosmote,Telecoms & Utilities,5.9,,
387,TD Bank,Financial Services,5.9,,
387,Save Our Libraries,"Non-profit, public sector & education",5.9,,
387,Warframe,Technology & Electronics,5.9,,
395,E-Moving,Automotive,5.7,,
395,Faculdade Zumbi dos Palmares,"Non-profit, public sector & education",5.7,,
397,Twitter,Media & Publishing,5.6,,
398,Air New Zealand,Transport & Tourism,5.3,,
398,Tadoba Wildlife Sanctuary,"Non-profit, public sector & education",5.3,,
398,Aura,Household & Domestic,5.3,,
398,Colombo Municipal Council,"Non-profit, public sector & education",5.3,,
398,Moov,Pharma & Healthcare,5.3,,
398,Tourism and Events Queensland,Transport & Tourism,5.3,,
398,Hotstar,Media & Publishing,5.3,,
398,Schroders,Business & Industrial,5.3,,
406,Charoen Pokphand Group,Business & Industrial,5.1,,
406,Grab,Transport & Tourism,5.1,,
408,Max's Restaurant,Retail,4.9,,
408,Panasonic,Technology & Electronics,4.9,,
408,Samsung Fire & Marine Insurance,Financial Services,4.9,,
408,ele,Toiletries & Cosmetics,4.9,,
408,Alexander,Alcoholic Drinks,4.9,,
408,ManipalCigna,Financial Services,4.9,,
408,Dogs,Media & Publishing,4.9,,
