,,,,,
Rank,Brand,Product Category,Points,,
175,Fast & Furious 8,Media & Publishing,11.1,,
175,Dettol,Household & Domestic,11.1,,
175,HSBC,Financial Services,11.1,,
181,Alepa,Retail,10.9,,
182,Excella Gold,Food,10.8,,
183,Movistar,Telecoms & Utilities,10.7,,
183,Vivo,Telecoms & Utilities,10.7,,
183,Ministry of Health,"Non-profit, public sector & education",10.7,,
186,Lyft,Transport & Tourism,10.4,,
186,Lane Bryant,Retail,10.4,,
186,Patrón,Alcoholic Drinks,10.4,,
189,Y!mobile,Telecoms & Utilities,10.2,,
189,Movember Foundation,"Non-profit, public sector & education",10.2,,
189,Mirinda,Soft Drinks,10.2,,
189,Chevrolet,Automotive,10.2,,
189,INFINITI,Automotive,10.2,,
194,Pedigree,Household & Domestic,10.0,,
194,TGV,Transport & Tourism,10.0,,
194,National Geographic,Media & Publishing,10.0,,
194,Get America Covered,"Non-profit, public sector & education",10.0,,
194,WestJet,Transport & Tourism,10.0,,
194,Kobe Shimbun,Media & Publishing,10.0,,
194,Canon,Technology & Electronics,10.0,,
194,Apple,Technology & Electronics,10.0,,
194,Lacoste,Clothing & Accessories,10.0,,
194,Prisma,Retail,10.0,,
194,Fotawa,Retail,10.0,,
194,EDEKA Zentrale,Retail,10.0,,
194,Albert Heijn,Retail,10.0,,
194,The Pregnancy Pause,"Non-profit, public sector & education",10.0,,
194,Mini,Automotive,10.0,,
194,University of Sydney,"Non-profit, public sector & education",10.0,,
194,Extra Gum,Food,10.0,,
194,Mytaxi,Transport & Tourism,10.0,,
194,DKV Insurance,Financial Services,10.0,,
194,Vodka Cruiser,Alcoholic Drinks,10.0,,
194,Always,Toiletries & Cosmetics,10.0,,
194,Assassin's Creed,Leisure & Entertainment,10.0,,
216,Getty Images,Business & Industrial,9.9,,
217,Clean & Clear,Toiletries & Cosmetics,9.8,,
217,National Safety Council,"Non-profit, public sector & education",9.8,,
219,Shield,Toiletries & Cosmetics,9.7,,
220,Sports Experts,Retail,9.6,,
221,UN Women,"Non-profit, public sector & education",9.4,,
222,Chiquita,Food,9.0,,
222,Suja Juice,Soft Drinks,9.0,,
222,Gatorade,Soft Drinks,9.0,,
222,Novo Nordisk,Pharma & Healthcare,9.0,,
222,Brisk,Soft Drinks,9.0,,
222,The New York Times,Media & Publishing,9.0,,
222,Google Cloud,Technology & Electronics,9.0,,
222,Subaru,Automotive,9.0,,
222,Marpac,Household & Domestic,9.0,,
231,Nissan,Automotive,8.9,,
231,Excedrin,Pharma & Healthcare,8.9,,
233,FedEx,Business & Industrial,8.8,,
233,All Things Hair,Toiletries & Cosmetics,8.8,,
233,CloseUp,Toiletries & Cosmetics,8.8,,
233,Intimus,Toiletries & Cosmetics,8.8,,
233,Raspatito,Food,8.8,,
233,Corona Extra,Alcoholic Drinks,8.8,,
233,Trident,Food,8.8,,
240,Sedal,Toiletries & Cosmetics,8.7,,
241,Fundación Mujeres en Igualdad,"Non-profit, public sector & education",8.5,,
241,Honda,Automotive,8.5,,
241,7-Eleven,Retail,8.5,,
244,MSD Animal Health,Household & Domestic,8.3,,
244,Lincoln,Automotive,8.3,,
244,National Security Agency,"Non-profit, public sector & education",8.3,,
244,Tmall,Retail,8.3,,
244,Sodimac,Retail,8.3,,
244,Land Rover Discovery,Automotive,8.3,,
244,Rom,Food,8.3,,
244,Virgin Trains,Transport & Tourism,8.3,,
252,Nando's,Retail,8.2,,
252,Loto Libanaise,Leisure & Entertainment,8.2,,
254,Thrive,Pharma & Healthcare,8.0,,
254,Dubai Corporation for Tourism and Commerce Marketing,Transport & Tourism,8.0,,
254,Porsche Design,Automotive,8.0,,
254,Paulaner Brewery,Alcoholic Drinks,8.0,,
254,Xerox,Technology & Electronics,8.0,,
254,Levi's,Clothing & Accessories,8.0,,
254,Microsoft,Technology & Electronics,8.0,,
254,TOMS,Clothing & Accessories,8.0,,
254,Hyundai,Automotive,8.0,,
254,Johnnie Walker,Alcoholic Drinks,8.0,,
254,Heinz,Food,8.0,,
254,7 Up,Soft Drinks,8.0,,
254,Smirnoff,Alcoholic Drinks,8.0,,
254,Ingredion,Food,8.0,,
254,Cottonelle,Household & Domestic,8.0,,
254,EGBank,Financial Services,8.0,,
254,Anmum,Food,8.0,,
254,Sprint,Telecoms & Utilities,8.0,,
254,Dish Network,Media & Publishing,8.0,,
254,Outback Steakhouse,Retail,8.0,,
254,Krispy,Media & Publishing,8.0,,
254,Mobily,Telecoms & Utilities,8.0,,
254,Air New Zealand,Transport & Tourism,8.0,,
254,Accenture,Business & Industrial,8.0,,
254,IBM,Technology & Electronics,8.0,,
279,Sony Pictures Entertainment,Media & Publishing,7.9,,
280,Sahibinden.com,Media & Publishing,7.6,,
280,Electric Castle,Leisure & Entertainment,7.6,,
280,OPR-Finance,Financial Services,7.6,,
283,Pegasus Airlines,Transport & Tourism,7.5,,
284,Thai Health Promotion Foundation,"Non-profit, public sector & education",7.4,,
