Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
220,Native VML,Cape Town,Creative Agency,South Africa,,"Alcoholic Drinks, Media & Publishing",38.3
220,Kolle Rebbe,Hamburg,Creative Agency,Germany,X,"Media & Publishing, Non-profit, public sector & education, Transport & Tourism",38.3
222,GPY&R,Melbourne,Creative Agency,Australia,,"Non-profit, public sector & education",37.4
223,Friends,Moscow,Creative Agency,Russia,X,"Clothing & Accessories, Technology & Electronics",37.3
223,Ampfy,Sao Paulo,Creative Agency,Brazil,X,Transport & Tourism,37.3
223,Brad,Montreal,Creative Agency,Canada,X,"Media & Publishing, Pharma & Healthcare",37.3
226,Wieden+Kennedy,Tokyo,Creative Agency,Japan,X,"Clothing & Accessories, Media & Publishing",37.1
226,Proximity,Barcelona,Creative Agency,Spain,,Automotive,37.1
228,Uncle Grey,Copenhagen,Creative Agency,Denmark,,"Politics, Telecoms & Utilities, Transport & Tourism",37.0
229,Born05,Utrecht,Creative Agency,Netherlands,X,Transport & Tourism,36.9
229,Verba (DDB Group),Milan,Creative Agency,Italy,,Automotive,36.9
231,SMFB,Oslo,Creative Agency,Norway,X,"Media & Publishing, Retail",36.6
231,Marvelous,Moscow,Creative Agency,Russia,X,"Non-profit, public sector & education, Telecoms & Utilities",36.6
231,PlayPallets International,Brooklyn,Creative Agency,USA,X,"Non-profit, public sector & education",36.6
234,Hakuhodo,Jakarta,Creative Agency,Indonesia,,Food,36.1
234,&Rosas,Barcelona,Creative Agency,Spain,X,Retail,36.1
236,Bassat Ogilvy & Mather,Madrid,Creative Agency,Spain,,"Automotive, Media & Publishing",36.0
236,Y&R,Mexico City,Creative Agency,Mexico,,Telecoms & Utilities,36.0
238,Blue Barracuda,Dubai,Creative Agency,United Arab Emirates,X,Food,35.8
238,Raya,Santiago,Creative Agency,Chile,X,"Non-profit, public sector & education",35.8
240,Anomaly,New York,Creative Agency,USA,,"Media & Publishing, Retail",35.4
241,AKQA,London,Creative Agency,UK,,"Clothing & Accessories, Media & Publishing",35.3
242,Grey,Dusseldorf,Creative Agency,Germany,,"Media & Publishing, Non-profit, public sector & education",34.8
243,Windfor's,Tbilisi,Creative Agency,Georgia,X,Transport & Tourism,34.7
244,Lapiz,Chicago,Creative Agency,USA,,Transport & Tourism,34.6
245,FCB,Zurich,Creative Agency,Switzerland,,"Leisure & Entertainment, Non-profit, public sector & education",33.9
246,McCann,Bucharest,Creative Agency,Romania,,"Food, Telecoms & Utilities",33.6
247,Preacher,Los Angeles,Creative Agency,USA,X,Media & Publishing,33.5
248,180,Amsterdam,Creative Agency,Netherlands,,"Non-profit, public sector & education",33.3
248,Havas,New York,Creative Agency,USA,,Alcoholic Drinks,33.3
250,Y&R,Sao Paulo,Creative Agency,Brazil,,"Food, Household & Domestic, Non-profit, public sector & education",33.1
251,Neogama,Sao Paulo,Creative Agency,Brazil,,Clothing & Accessories,33.0
251,Inspire Advertising,Taipei City,Creative Agency,Taiwan,X,Pharma & Healthcare,33.0
253,Arnold Worldwide,Boston,Creative Agency,USA,,"Alcoholic Drinks, Household & Domestic",32.6
254,DDB,Sydney,Creative Agency,Australia,,"Automotive, Leisure & Entertainment, Retail",32.3
255,Ogilvy & Mather,Hong Kong,Creative Agency,Hong Kong,,"Alcoholic Drinks, Non-profit, public sector & education",31.6
256,AKQA,San Francisco,Creative Agency,USA,,Technology & Electronics,31.4
256,Mother,New York,Creative Agency,USA,X,Business & Industrial,31.4
258,Sid Lee,Paris,Creative Agency,France,,Technology & Electronics,31.3
259,Havas,Milan,Creative Agency,Italy,,"Non-profit, public sector & education",30.9
260,Narrative_,New York,Creative Agency,USA,X,Financial Services,30.7
261,J. Walter Thompson,Dubai,Creative Agency,United Arab Emirates,,"Media & Publishing, Non-profit, public sector & education",30.6
261,Anomaly,Amsterdam,Creative Agency,Netherlands,,"Alcoholic Drinks, Clothing & Accessories",30.6
263,Leo Burnett,Frankfurt,Creative Agency,Germany,,"Automotive, Retail",30.1
264,J. Walter Thompson,Toronto,Creative Agency,Canada,,"Non-profit, public sector & education, Retail",29.9
265,McCann,Paris,Creative Agency,France,,"Non-profit, public sector & education",29.8
266,F5,Shanghai,Creative Agency,China (Mainland),X,Media & Publishing,29.7
266,Happiness / An FCB Alliance,Brussels,Creative Agency,Belgium,,Alcoholic Drinks,29.7
266,Publicis,Singapore,Creative Agency,Singapore,,Pharma & Healthcare,29.7
266,Havas,Prague,Creative Agency,Czech Republic,,"Non-profit, public sector & education",29.7
270,Very Agency,Copenhagen,Creative Agency,Denmark,X,Automotive,29.6
271,TBWA\Sydney,Sydney,Creative Agency,Australia,,Media & Publishing,29.5
272,GreynJ United,Bangkok,Creative Agency,Thailand,,"Financial Services, Food, Retail",29.4
273,Leo Burnett,Manila,Creative Agency,Philippines,,"Non-profit, public sector & education, Retail",29.3
