Rank,Brand,Product Category,Points,,
341,Banco Galicia,Financial Services,8.5,,
341,Sodimac,Retail,8.5,,
341,Fine Baby,Toiletries & Cosmetics,8.5,,
341,Liv.,Financial Services,8.5,,
341,ABAAD,"Non-profit, public sector & education",8.5,,
341,Yas Island,Leisure & Entertainment,8.5,,
341,The Lebanese Women Democratic Gathering - RDFL,"Non-profit, public sector & education",8.5,,
349,M&M's,Food,8.4,,
350,adidas Originals,Clothing & Accessories,8.3,,
350,State of Decay 2,Technology & Electronics,8.3,,
350,European Wax Center,Toiletries & Cosmetics,8.3,,
350,Land Rover,Automotive,8.3,,
350,MedExpress,Pharma & Healthcare,8.3,,
350,COVERGIRL,Toiletries & Cosmetics,8.3,,
350,Seize the Awkward,"Non-profit, public sector & education",8.3,,
350,Centers for Disease Control and Prevention,"Non-profit, public sector & education",8.3,,
350,FDA,"Non-profit, public sector & education",8.3,,
350,Sprint,Telecoms & Utilities,8.3,,
350,Cerveza Sol,Alcoholic Drinks,8.3,,
350,Freshpet,Household & Domestic,8.3,,
350,Tobacco Free Florida,"Non-profit, public sector & education",8.3,,
350,OKCupid,Media & Publishing,8.3,,
364,Bud Light,Alcoholic Drinks,8.2,,
365,Honor of Kings / MAC Cosmetics,Technology & Electronics,8.1,,
366,Flipkart,Retail,8.0,,
366,Tanishq Rivaah,Clothing & Accessories,8.0,,
366,Bonduelle,Food,8.0,,
366,CityMobil,Transport & Tourism,8.0,,
366,YOTA,Telecoms & Utilities,8.0,,
366,Le Parfait,Household & Domestic,8.0,,
366,Miwon,Food,8.0,,
366,Škoda,Automotive,8.0,,
366,Maybelline,Toiletries & Cosmetics,8.0,,
366,Sugar-Crisp,Food,8.0,,
366,Casey House,"Non-profit, public sector & education",8.0,,
366,Ipswich City Council,"Non-profit, public sector & education",8.0,,
366,Telstra,Telecoms & Utilities,8.0,,
366,Batiste,Toiletries & Cosmetics,8.0,,
366,Listerine,Toiletries & Cosmetics,8.0,,
366,Parque Nascente,Retail,8.0,,
366,Tymbark,Soft Drinks,8.0,,
366,Warka,Alcoholic Drinks,8.0,,
366,POLIN Museum of the History of Polish Jews,Leisure & Entertainment,8.0,,
366,Unit.Home,Business & Industrial,8.0,,
366,Brave! Factory,Leisure & Entertainment,8.0,,
366,Comfy,Retail,8.0,,
366,ДМИТРУК,Food,8.0,,
366,Ciencuadras,Business & Industrial,8.0,,
366,Avantel,Telecoms & Utilities,8.0,,
366,abcdin,Retail,8.0,,
366,Mutual de Seguridad,"Non-profit, public sector & education",8.0,,
366,PC Factory,Retail,8.0,,
366,Gato,Alcoholic Drinks,8.0,,
366,Santo Tomás,"Non-profit, public sector & education",8.0,,
366,Early Childhood Development Agency,"Non-profit, public sector & education",8.0,,
366,Shan,Food,8.0,,
366,Brahma,Alcoholic Drinks,8.0,,
366,NZ Transport Agency,"Non-profit, public sector & education",8.0,,
366,Speight's,Alcoholic Drinks,8.0,,
366,Domino's,Retail,8.0,,
366,Chivas Regal,Alcoholic Drinks,8.0,,
366,Tottus,Retail,8.0,,
366,Argeta,Food,8.0,,
366,Pagnifique,Food,8.0,,
406,Nett,Toiletries & Cosmetics,7.7,,
406,Bailey's,Alcoholic Drinks,7.7,,
408,Always,Toiletries & Cosmetics,7.6,,
409,Hotel Honduras Maya,Transport & Tourism,7.4,,
409,Presente / AHF,"Non-profit, public sector & education",7.4,,
411,TAB,Leisure & Entertainment,7.3,,
411,Digi,Telecoms & Utilities,7.3,,
413,Tmall,Retail,7.1,,
414,Nutella,Food,6.8,,
414,Clear,Toiletries & Cosmetics,6.8,,
416,Optrex,Pharma & Healthcare,6.7,,
416,British Army,"Non-profit, public sector & education",6.7,,
416,Skittles,Food,6.7,,
416,The Global Fund,"Non-profit, public sector & education",6.7,,
420,Louvre Abu Dhabi,Transport & Tourism,6.6,,
420,Pillsbury,Food,6.6,,
420,Advil,Pharma & Healthcare,6.6,,
420,KitchenAid,Technology & Electronics,6.6,,
420,CHANTIX,Pharma & Healthcare,6.6,,
420,Ad Council,"Non-profit, public sector & education",6.6,,
420,American Fuel and Petrochemical Manufacturers,Automotive,6.6,,
427,Incredible India,Transport & Tourism,6.3,,
428,Tostitos,Food,6.2,,
429,Tsingtao,Alcoholic Drinks,6.0,,
429,Shiseido,Toiletries & Cosmetics,6.0,,
429,Sogou,Technology & Electronics,6.0,,
429,Real Leaf,Soft Drinks,6.0,,
429,999,Pharma & Healthcare,6.0,,
429,Samsung,Technology & Electronics,6.0,,
429,Mahindra & Mahindra,Automotive,6.0,,
429,Brooke Bond Red Label,Soft Drinks,6.0,,
429,IDFC Bank,Financial Services,6.0,,
429,Complan,Soft Drinks,6.0,,
429,Tata Ace,Automotive,6.0,,
429,Godrej HIT,Pharma & Healthcare,6.0,,
429,Mahindra Rise,"Non-profit, public sector & education",6.0,,
429,Virgin Trains,Transport & Tourism,6.0,,
429,Pedigree,Household & Domestic,6.0,,
429,Vaillant,Technology & Electronics,6.0,,
429,VHV Versicherungen,Financial Services,6.0,,
429,Lexoffice,Technology & Electronics,6.0,,
429,Sylt,Transport & Tourism,6.0,,
429,Wienerberger,Business & Industrial,6.0,,
429,Stabilo,Household & Domestic,6.0,,
429,Ministério Público Federal / Brazilian Association of Advertising Agencies,"Non-profit, public sector & education",6.0,,
429,iFood,Retail,6.0,,
