Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
257,McCann,San José,Creative Agency,Costa Rica,,Transport & Tourism,7.4
257,MullenLowe SSP3,Bogotá,Creative Agency,Colombia,,"Media & Publishing, Technology & Electronics",7.4
257,VCCP,Madrid,Creative Agency,Spain,,Financial Services,7.4
257,Wunderman Phantasia,Lima,Creative Agency,Peru,,Soft Drinks,7.4
265,Mindshare,Johannesburg,Creative Agency,South Africa,,Toiletries & Cosmetics,7.3
265,OMD,Istanbul,Creative Agency,Turkey,,Food,7.3
265,Wavemaker,Istanbul,Creative Agency,Turkey,,Automotive,7.3
265,TBWA\Helsinki,Helsinki,Creative Agency,Finland,,Media & Publishing,7.3
269,MediaCom,Chicago,Creative Agency,USA,,Pharma & Healthcare,7.2
270,BBDO,New York,Creative Agency,USA,,"Non-profit, public sector & education, Retail",7.0
270,DAVID,Miami,Creative Agency,USA,,Retail,7.0
270,KR Wavemaker,Paris,Creative Agency,France,,Alcoholic Drinks,7.0
270,Mensch,Copenhagen,Creative Agency,Denmark,X,Transport & Tourism,7.0
270,Spark Foundry,Shanghai,Creative Agency,China (Mainland),,Financial Services,7.0
270,The Economist Intelligence Unit,London,Creative Agency,UK,X,"Non-profit, public sector & education",7.0
270,Vizeum,London,Creative Agency,UK,,Telecoms & Utilities,7.0
277,Lew'Lara\TBWA,São Paulo,Creative Agency,Brazil,,"Automotive, Retail",6.7
277,+KNAUSS,Hamburg,Creative Agency,Germany,X,Pharma & Healthcare,6.7
277,BPN,Istanbul,Creative Agency,Turkey,,Telecoms & Utilities,6.7
277,GTB,London,Creative Agency,UK,,Automotive,6.7
277,Starcom,Karachi,Creative Agency,Pakistan,,Soft Drinks,6.7
282,Jotacom Communication,São Paulo,Creative Agency,Brazil,X,"Non-profit, public sector & education, Retail",6.4
282,McCann,Mexico City,Creative Agency,Mexico,,Food,6.4
282,Mirum,São Paulo,Creative Agency,Brazil,,Media & Publishing,6.4
285,Bullitt Entertainment,Los Angeles,Creative Agency,USA,X,Automotive,6.3
285,Havas Media,New York,Creative Agency,USA,,Financial Services,6.3
285,Prolific Interactive,New York,Creative Agency,USA,X,Retail,6.3
288,Ogilvy,Cape Town,Creative Agency,South Africa,,Alcoholic Drinks,5.4
288,Scanad,Nairobi,Creative Agency,Kenya,,Transport & Tourism,5.4
290,CreateAR,San Mateo,Creative Agency,USA,X,Automotive,5.3
290,London Advertising,London,Creative Agency,UK,X,Transport & Tourism,5.3
290,MediaCom,Toronto,Creative Agency,Canada,,Technology & Electronics,5.3
290,Vertic,Copenhagen,Creative Agency,Denmark,X,Business & Industrial,5.3
290,Vertic,Singapore,Creative Agency,Singapore,X,Pharma & Healthcare,5.3
290,Interactive Avenues,Gurgaon,Creative Agency,India,,Pharma & Healthcare,5.3
290,M Booth,New York,Creative Agency,USA,X,Media & Publishing,5.3
290,Starcom,New York,Creative Agency,USA,,Technology & Electronics,5.3
298,Colenso BBDO,Auckland,Creative Agency,New Zealand,,"Non-profit, public sector & education",5.1
298,Mindshare,Singapore,Creative Agency,Singapore,,Food,5.1
298,J. Walter Thompson,Brussels,Creative Agency,Belgium,,"Non-profit, public sector & education",5.1
298,MediaCom,Zurich,Creative Agency,Switzerland,,Automotive,5.1
298,MilkLab Media,Istanbul,Creative Agency,Turkey,X,Business & Industrial,5.1
303,Alma DDB,Miami,Creative Agency,USA,,"Non-profit, public sector & education",5.0
303,BETC,São Paulo,Creative Agency,Brazil,,"Non-profit, public sector & education",5.0
303,DDB,Bogotá,Creative Agency,Colombia,,"Financial Services, Leisure & Entertainment",5.0
303,J. Walter Thompson,San Juan,Creative Agency,Puerto Rico,,"Non-profit, public sector & education",5.0
303,Ogilvy,Mexico City,Creative Agency,Mexico,,Technology & Electronics,5.0
308,Mindshare,Taguig City,Creative Agency,Philippines,,Automotive,4.9
308,GroundTruth,London,Creative Agency,UK,X,Retail,4.9
308,Voden Leo Burnett,Istanbul,Creative Agency,Turkey,,Technology & Electronics,4.9
308,Yonder Media,Pretoria,Creative Agency,South Africa,,Retail,4.9
312,Expedia Media Solutions,New York,Creative Agency,USA,X,Transport & Tourism,4.8
313,ADK,Taipei,Creative Agency,Taiwan,,Retail,4.7
313,McCann,Mumbai,Creative Agency,India,,Financial Services,4.7
313,McCann Health,New Delhi,Creative Agency,India,,"Non-profit, public sector & education",4.7
316,Initiative,Santiago,Creative Agency,Chile,,Household & Domestic,4.4
316,Initiative,Montevideo,Creative Agency,Uruguay,,Food,4.4
316,mcgarrybowen,São Paulo,Creative Agency,Brazil,,Toiletries & Cosmetics,4.4
316,MediaCom,Buenos Aires,Creative Agency,Argentina,,Automotive,4.4
316,Mindshare,Mexico City,Creative Agency,Mexico,,Food,4.4
321,Y&R,Dubai,Creative Agency,United Arab Emirates,,"Non-profit, public sector & education",4.3
321,Adsmovil,Bogotá,Creative Agency,Colombia,X,Automotive,4.3
321,UM,Miami,Creative Agency,USA,,"Non-profit, public sector & education",4.3
324,GTB,Dearborn,Creative Agency,USA,,Automotive,4.2
325,Appsynth,Bangkok,Creative Agency,Thailand,X,Retail,3.7
325,OMD,Sydney,Creative Agency,Australia,,Media & Publishing,3.7
327,BBDO,Berlin,Creative Agency,Germany,,"Non-profit, public sector & education",3.6
327,ToinenPHD,Helsinki,Creative Agency,Finland,,Transport & Tourism,3.6
327,Vizeum,Brussels,Creative Agency,Belgium,,Telecoms & Utilities,3.6
327,Wunderman,Antwerp,Creative Agency,Belgium,,"Non-profit, public sector & education",3.6
331,Barefoot Proximity,Cincinnati,Creative Agency,USA,,Food,3.3
331,Brand Culture,London,Creative Agency,UK,X,Financial Services,3.3
331,CompassPoint Media,Minneapolis,Creative Agency,USA,X,Food,3.3
331,Joint,London,Creative Agency,UK,X,Alcoholic Drinks,3.3
331,NOW,London,Creative Agency,UK,X,Financial Services,3.3
331,Starcom,Dubai,Creative Agency,United Arab Emirates,,Telecoms & Utilities,3.3
337,Joe Public,Johannesburg,Creative Agency,South Africa,X,Leisure & Entertainment,2.7
337,VML,Cape Town,Creative Agency,South Africa,,Clothing & Accessories,2.7
339,m/SIX,Mumbai,Creative Agency,India,,Pharma & Healthcare,2.6
340,Melt,Warsaw,Creative Agency,Poland,X,Technology & Electronics,2.5
340,VML,Warsaw,Creative Agency,Poland,,Technology & Electronics,2.5
340,BBDO,São Paulo,Creative Agency,Brazil,,Transport & Tourism,2.5
