Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
135,Innocean Worldwide,Seoul,Creative Agency,South Korea,X,Automotive,24.4
136,J. Walter Thompson,Amsterdam,Creative Agency,Netherlands,,"Automotive, Non-profit, public sector & education",24.2
137,VML,Cape Town,Creative Agency,South Africa,,"Clothing & Accessories, Media & Publishing",24.1
138,TBWA\Santiago Mangada Puno,Makati,Creative Agency,Philippines,,"Business & Industrial, Media & Publishing, Non-profit, public sector & education",23.5
139,VML,Sydney,Creative Agency,Australia,,"Non-profit, public sector & education, Retail",23.4
140,Nord DDB,Stockholm,Creative Agency,Sweden,,"Clothing & Accessories, Retail",23.3
141,Anomaly,Toronto,Creative Agency,Canada,,Food,23.1
142,Net#work BBDO,Johannesburg,Creative Agency,South Africa,,"Automotive, Telecoms & Utilities",23.0
143,BBDO,Toronto,Creative Agency,Canada,,"Non-profit, public sector & education",22.9
144,BBDO,Gurgaon,Creative Agency,India,,"Pharma & Healthcare, Soft Drinks",22.8
144,DDB,Paris,Creative Agency,France,,Leisure & Entertainment,22.8
146,Lew'Lara\TBWA,São Paulo,Creative Agency,Brazil,,Automotive,22.5
147,Choojai & Friends,Bangkok,Creative Agency,Thailand,X,Telecoms & Utilities,22.4
147,Y&R,Mexico City,Creative Agency,Mexico,,"Financial Services, Non-profit, public sector & education, Telecoms & Utilities",22.4
149,Saatchi & Saatchi,London,Creative Agency,UK,,Telecoms & Utilities,22.1
150,BBDO,Bangkok,Creative Agency,Thailand,,"Household & Domestic, Non-profit, public sector & education",22.0
150,Lucky Generals,London,Creative Agency,UK,,Retail,22.0
152,Y&R,Dubai,Creative Agency,United Arab Emirates,,"Business & Industrial, Non-profit, public sector & education, Toiletries & Cosmetics",21.6
153,WATConsult,Mumbai,Creative Agency,India,,"Non-profit, public sector & education",21.5
153,CP+B,Los Angeles,Creative Agency,USA,,"Alcoholic Drinks, Financial Services",21.5
155,TESS,Sendai,Creative Agency,Japan,X,Technology & Electronics,21.4
156,Wieden+Kennedy,Shanghai,Creative Agency,China (Mainland),X,Clothing & Accessories,21.2
157,180heartbeats + Jung von Matt,Warsaw,Creative Agency,Poland,X,Food,21.0
158,Geometry,Moscow,Creative Agency,Russia,,Telecoms & Utilities,20.7
159,McCann,Lima,Creative Agency,Peru,,"Non-profit, public sector & education, Retail, Telecoms & Utilities",20.5
160,FP7/CAI,Cairo,Creative Agency,Egypt,,"Financial Services, Retail, Telecoms & Utilities",20.3
161,Wunderman,Buenos Aires,Creative Agency,Argentina,,"Non-profit, public sector & education, Telecoms & Utilities",20.1
162,The Martin Agency,Richmond,Creative Agency,USA,,Financial Services,19.9
163,Ponce,Buenos Aires,Creative Agency,Argentina,,Media & Publishing,19.6
163,Grey,New York,Creative Agency,USA,,"Automotive, Non-profit, public sector & education, Pharma & Healthcare",19.6
165,MRM//McCann,New York,Creative Agency,USA,,Telecoms & Utilities,19.5
165,McCann,Melbourne,Creative Agency,Australia,,Leisure & Entertainment,19.5
