Rank,Agency Name,City,Agency Type,Agency Location,Product Category,Points
156,Ogilvy,Cape Town,Creative Agency,South Africa,"Alcoholic Drinks, Automotive, Food, Retail, Soft Drinks",18.7
157,TBWA\India,Mumbai,Creative Agency,India,Pharma & Healthcare,18.5
158,McCann,Belgrade,Creative Agency,Serbia,"Non-profit, public sector & education",18
158,CP+B,Boulder,Creative Agency,USA,Retail,18
158,Forsman & Bodenfors Inhouse,Gothenburg,Creative Agency,Sweden,Automotive,18
161,McCann,Milton Keynes,Creative Agency,UK,Automotive,17.9
161,MRM//McCann,Madrid,Digital/Specialist Agency,Spain,Automotive,17.9
163,VMLY&R,Chicago,Creative Agency,USA,Food,17.8
163,Wunderman Thompson,São Paulo,Creative Agency,Brazil,"Automotive, Household & Domestic",17.8
165,DDB,Auckland,Creative Agency,New Zealand,"Leisure & Entertainment, Non-profit, public sector & education",17.6
166,LDV United,Antwerp,Creative Agency,Belgium,Leisure & Entertainment,17.5
167,TBWA\Media Arts Lab,Shanghai,Creative Agency,China (Mainland),Technology & Electronics,17.3
167,180heartbeats + Jung von Matt,Warsaw,Creative Agency,Poland,Food,17.3
167,The Martin Agency,Richmond,Creative Agency,USA,Financial Services,17.3
170,Jam3,Toronto,Digital/Specialist Agency,Canada,Clothing & Accessories,17.1
170,Publicis,New York,Creative Agency,USA,Clothing & Accessories,17.1
170,Publicis Conseil,Paris,Creative Agency,France,Media & Publishing,17.1
173,Anomaly,New York,Creative Agency,USA,"Food, Technology & Electronics",16.8
173,Serviceplan,Paris,Creative Agency,France,Retail,16.8
175,Rafineri,Istanbul,Digital/Specialist Agency,Turkey,"Non-profit, public sector & education",16.7
175,DAVID,Buenos Aires,Creative Agency,Argentina,Financial Services,16.7
177,Bensimon Byrne,Toronto,Creative Agency,Canada,"Non-profit, public sector & education",16.6
178,M&C Saatchi Abel,Johannesburg,Creative Agency,South Africa,"Retail, Technology & Electronics",16.5
178,Happiness Brussels,Brussels,Creative Agency,Belgium,"Alcoholic Drinks, Non-profit, public sector & education, Telecoms & Utilities",16.5
180,Leo Burnett,Kuala Lumpur,Creative Agency,Malaysia,"Non-profit, public sector & education",15.6
181,McCann,Mumbai,Creative Agency,India,"Financial Services, Non-profit, public sector & education, Pharma & Healthcare",15.5
182,VMLY&R,Sydney,Creative Agency,Australia,"Financial Services, Retail",15
182,Isobar,Mexico City,Digital/Specialist Agency,Mexico,"Food, Transport & Tourism",15
184,Prime,Stockholm,Digital/Specialist Agency,Sweden,Media & Publishing,14.9
184,Innored,Seoul,Creative Agency,South Korea,Clothing & Accessories,14.9
184,BBDO,Mumbai,Creative Agency,India,Household & Domestic,14.9
187,The Richards Group,Dallas,Creative Agency,Colombia,Transport & Tourism,14.8
188,DDB,Guaynabo,Creative Agency,Puerto Rico,"Alcoholic Drinks, Automotive, Business & Industrial",14.6
188,el Ruso de Rocky,Madrid,Creative Agency,Spain,"Alcoholic Drinks, Financial Services",14.6
190,VMLY&R,Johannesburg,Creative Agency,South Africa,"Non-profit, public sector & education, Retail",14.4
191,Wunderman,Buenos Aires,Digital/Specialist Agency,Argentina,"Non-profit, public sector & education, Retail, Telecoms & Utilities",14.3
192,Serviceplan,Munich,Creative Agency,Germany,"Non-profit, public sector & education, Transport & Tourism",14.1
192,Leo Burnett,Colombo,Creative Agency,Sri Lanka,Household & Domestic,14.1
192,FCB&FiRe,Madrid,Creative Agency,Spain,Food,14.1
195,Clemenger BBDO,Wellington,Creative Agency,New Zealand,"Non-profit, public sector & education",13.8
196,Contrapunto BBDO,Madrid,Creative Agency,Spain,Leisure & Entertainment,13.7
196,Net#work BBDO,Johannesburg,Creative Agency,South Africa,Automotive,13.7
198,GSD&M,Austin,Creative Agency,USA,Retail,13.6
199,CJ WORX,Bangkok,Digital/Specialist Agency,Thailand,"Financial Services, Food, Media & Publishing",13.4
199,Leo Burnett,Sydney,Creative Agency,Australia,Technology & Electronics,13.4
199,Digitas,Warsaw,Digital/Specialist Agency,Poland,Technology & Electronics,13.4
202,Cheil,Gurgaon,Creative Agency,India,"Non-profit, public sector & education, Technology & Electronics",13.3
202,BLKJ,Singapore,Creative Agency,Singapore,Telecoms & Utilities,13.3
202,Clemenger BBDO,Sydney,Creative Agency,Australia,"Food, Household & Domestic",13.3
205,Memac Ogilvy,Dubai,Creative Agency,United Arab Emirates,"Automotive, Retail",13.1
205,VOSKHOD,Ekaterinburg,Creative Agency,Russia,Media & Publishing,13.1
207,DDB,Budapest,Creative Agency,Hungary,"Non-profit, public sector & education",12.9
207,Rabbit's Tale,Bangkok,Digital/Specialist Agency,Thailand,Financial Services,12.9
209,McCann,Birmingham,Creative Agency,UK,"Pharma & Healthcare, Soft Drinks",12.8
