Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
155,Publicis,Bucharest,Creative Agency,Romania,,"Non-profit, public sector & education",27.4
155,Publicis One,Bucharest,Creative Agency,Romania,,"Non-profit, public sector & education",27.4
155,Reprise Media,Toronto,Creative Agency,Canada,X,"Non-profit, public sector & education",27.4
155,Wavemaker,Sydney,Creative Agency,Australia,,Food,27.4
162,Buzzman,Paris,Creative Agency,France,X,"Retail, Transport & Tourism",26.8
163,Initiative,Montevideo,Creative Agency,Uruguay,,Toiletries & Cosmetics,25.7
163,OMD,Shanghai,Creative Agency,China (Mainland),,Clothing & Accessories,25.7
163,McCann,Bucharest,Creative Agency,Romania,,"Non-profit, public sector & education, Telecoms & Utilities",25.7
166,Mindshare,Toronto,Creative Agency,Canada,,"Food, Toiletries & Cosmetics",25.2
167,Compass Point,Minneapolis,Creative Agency,USA,X,Financial Services,24.9
167,Optimum sports,Chicago,Creative Agency,USA,X,Clothing & Accessories,24.9
169,UM,Tunis,Creative Agency,Tunisia,,Telecoms & Utilities,24.6
170,Vizeum,London,Creative Agency,UK,,"Leisure & Entertainment, Retail",23.6
171,Serviceplan,Munich,Creative Agency,Germany,,"Clothing & Accessories, Retail, Technology & Electronics",22.9
172,Carmichael Lynch,Minneapolis,Creative Agency,USA,X,Food,22.3
172,Engine Media,Chicago,Creative Agency,USA,X,"Non-profit, public sector & education",22.3
172,GSD&M,Austin,Creative Agency,USA,X,"Non-profit, public sector & education",22.3
172,IMA,Amsterdam,Creative Agency,Netherlands,X,Retail,22.3
172,Mediabrands,San Francisco,Creative Agency,USA,,Technology & Electronics,22.3
172,MediaCom,Singapore,Creative Agency,Singapore,,Business & Industrial,22.3
172,Spark Foundry,Chicago,Creative Agency,USA,,Retail,22.3
172,Team One,Los Angeles,Creative Agency,USA,,Automotive,22.3
180,J. Walter Thompson,Cairo,Creative Agency,Egypt,,"Food, Telecoms & Utilities",21.9
181,Wunderman,Buenos Aires,Creative Agency,Argentina,,"Non-profit, public sector & education",21.3
182,Mindshare,Makati City,Creative Agency,Philippines,,Food,21.2
182,Opera MediaWorks,Jakarta,Creative Agency,Indonesia,X,Toiletries & Cosmetics,21.2
182,Zenith,Mumbai,Creative Agency,India,,Food,21.2
185,Dentsu X,Makati City,Creative Agency,Philippines,,"Non-profit, public sector & education",21.1
186,DM9DDB,Sao Paulo,Creative Agency,Brazil,,"Non-profit, public sector & education, Retail",21.0
187,Havas,Madrid,Creative Agency,Spain,,"Non-profit, public sector & education",20.9
188,Jung von Matt,Hamburg,Creative Agency,Germany,,Retail,20.1
188,Mortierbrigade,Brussels,Creative Agency,Belgium,X,Media & Publishing,20.1
190,Amazon,Santa Monica,Creative Agency,USA,X,Media & Publishing,20.0
190,J. Walter Thompson,Tokyo,Creative Agency,Japan,,Food,20.0
190,Mindshare,Lima,Creative Agency,Peru,,Financial Services,20.0
190,Red Media,Oslo,Creative Agency,Norway,X,Pharma & Healthcare,20.0
194,Mindshare,Colombo,Creative Agency,Sri Lanka,,Financial Services,19.8
195,DAVID,Buenos Aires,Creative Agency,Argentina,,"Non-profit, public sector & education",19.7
195,Drummond Central,Newcastle,Creative Agency,UK,X,Leisure & Entertainment,19.7
195,INGO,Stockholm,Creative Agency,Sweden,X,Transport & Tourism,19.7
195,J. Walter Thompson,San Jose,Creative Agency,Costa Rica,,Media & Publishing,19.7
195,Liquidminds,Copenhagen,Creative Agency,Denmark,X,Transport & Tourism,19.7
195,Sansir,Torshavn,Creative Agency,Denmark,X,Transport & Tourism,19.7
195,Spark Foundry,New York,Creative Agency,USA,,Financial Services,19.7
195,Ogilvy & Mather,Beijing,Creative Agency,China (Mainland),,Soft Drinks,19.7
203,Reprise,Santiago,Creative Agency,Chile,,Transport & Tourism,19.3
203,Reprise,Montevideo,Creative Agency,Uruguay,,Technology & Electronics,19.3
203,UM,Bogota,Creative Agency,Colombia,,Retail,19.3
206,Starcom,Beirut,Creative Agency,Lebanon,,Alcoholic Drinks,19.0
207,UM,San Juan,Creative Agency,Puerto Rico,,"Non-profit, public sector & education",18.3
207,adam&eveDDB,London,Creative Agency,UK,,Retail,18.3
207,Another,Copenhagen,Creative Agency,Denmark,X,Retail,18.3
207,ANR BBDO,Stockholm,Creative Agency,Sweden,,Household & Domestic,18.3
207,F5,Shanghai,Creative Agency,China (Mainland),X,Technology & Electronics,18.3
207,Ifeng.com,Beijing,Creative Agency,China (Mainland),X,Retail,18.3
207,Nurun,Paris,Creative Agency,France,,Retail,18.3
207,Publicis,London,Creative Agency,UK,,"Alcoholic Drinks, Transport & Tourism",18.3
207,Spark Foundry,Lima,Creative Agency,Peru,,Financial Services,18.3
207,The Cyranos//McCann,Barcelona,Creative Agency,Spain,,Media & Publishing,18.3
207,Tribal 121,Lima,Creative Agency,Peru,,Financial Services,18.3
207,Uncle Grey,Arhus,Creative Agency,Denmark,,Transport & Tourism,18.3
207,Y&R,Madrid,Creative Agency,Spain,,Food,18.3
207,Zenith,Shanghai,Creative Agency,China (Mainland),,Automotive,18.3
221,Accenture,San Francisco,Creative Agency,USA,X,Business & Industrial,17.1
221,Carat,Los Angeles,Creative Agency,USA,,Automotive,17.1
221,Contobox,Toronto,Creative Agency,Canada,X,"Financial Services, Soft Drinks",17.1
221,Empower Media Team,Cincinnati,Creative Agency,USA,X,Technology & Electronics,17.1
221,Havas,Dubai,Creative Agency,United Arab Emirates,,Telecoms & Utilities,17.1
221,Havas Sports & Entertainment,Paris,Creative Agency,France,,Telecoms & Utilities,17.1
221,Mediaplus,Vienna,Creative Agency,Austria,,Transport & Tourism,17.1
221,OMD,Taipei,Creative Agency,Taiwan,,Technology & Electronics,17.1
221,Serviceplan,Vienna,Creative Agency,Austria,,Transport & Tourism,17.1
221,Sid Lee Media,Montreal,Creative Agency,Canada,X,Leisure & Entertainment,17.1
221,The Story Lab,Los Angeles,Creative Agency,USA,,Automotive,17.1
